"home_team","away_team","week","type","game_id","season"
"DEN","DET",16,"reg",2019122200,2019
"LAC","OAK",16,"reg",2019122201,2019
"WAS","NYG",16,"reg",2019122211,2019
"TEN","NO",16,"reg",2019122210,2019
"NYJ","PIT",16,"reg",2019122209,2019
"NE","BUF",16,"reg",2019122202,2019
"SF","LAR",16,"reg",2019122203,2019
"TB","HOU",16,"reg",2019122204,2019
"ATL","JAX",16,"reg",2019122205,2019
"CLE","BAL",16,"reg",2019122206,2019
"IND","CAR",16,"reg",2019122207,2019
"MIA","CIN",16,"reg",2019122208,2019
"SEA","ARZ",16,"reg",2019122213,2019
"PHI","DAL",16,"reg",2019122212,2019
"CHI","KC",16,"reg",2019122214,2019
"MIN","GB",16,"reg",2019122300,2019
"BAL","PIT",17,"reg",2019122900,2019
"BUF","NYJ",17,"reg",2019122901,2019
"TB","ATL",17,"reg",2019122912,2019
"NYG","PHI",17,"reg",2019122911,2019
"CAR","NO",17,"reg",2019122902,2019
"CIN","CLE",17,"reg",2019122903,2019
"DAL","WAS",17,"reg",2019122904,2019
"DET","GB",17,"reg",2019122905,2019
"HOU","TEN",17,"reg",2019122906,2019
"JAX","IND",17,"reg",2019122907,2019
"KC","LAC",17,"reg",2019122908,2019
"MIN","CHI",17,"reg",2019122909,2019
"NE","MIA",17,"reg",2019122910,2019
"DEN","OAK",17,"reg",2019122913,2019
"LAR","ARZ",17,"reg",2019122914,2019
"SEA","SF",17,"reg",2019122915,2019
